company,year,score_q1,score_q2,score_q3,score_q4,score_q5,score_q6,score_q7,score_q8,score_q9,score_q10,score_q11,score_q12,score_q13,score_q14,score_q15,score_q16,score_q17,score_q18,score_q19,score_q20,score_q21,score_q22,score_q23,score_q24,score_q25,score_q26,score_q27,score_q28,score_q29,score_q30,score_q31,score_q32,score_q33,score_q34,score_q35,score_q36,score_q37,score_q38,score_q39,score_q40,score_q41,score_q42,score_q43,score_q44,score_q45,score_q46,score_q47,score_q48,score_q49,score_q50,score_q51,score_q52,score_q53,score_q54,score_q55,score_q56,score_q57,score_q58,score_q59,score_q60,score_q61,score_q62,score_q63,score_q64,score_q65,score_q66,score_q67,score_q68,score_q69,vdi_score_scaled,vdi_score_unscaled
Bharti Airtel,2015,0.9837597012519836,0.9847691655158995,0.9919862747192384,0.988637149333954,0.9037931561470032,0.9581319093704224,0.9654918909072876,0.989417314529419,0.953553020954132,0.982289969921112,0.9711609482765198,0.9912463426589966,0.9890698194503784,0.9693346619606018,0.9830961227416992,0.9396829009056092,0.9781978726387024,0.962101936340332,0.9779102802276612,0.9443318247795104,0.9289790987968444,0.9238235354423524,0.8581756353378296,0.8517799377441406,0.9922386407852172,0.9250685572624208,0.8908237218856812,0.9716082215309144,0.987111270427704,0.9838645458221436,0.930385172367096,0.9270616769790648,0.9625870585441588,0.9295075535774232,0.9696356058120728,0.9650164246559144,0.9597647190093994,0.986193597316742,0.6191190481185913,0.974635362625122,0.9701594710350036,0.738929271697998,0.953648805618286,0.962311029434204,0.6976762413978577,0.6920459270477295,0.9961260557174684,0.9198312759399414,0.9909411072731018,0.9398144483566284,0.7992086410522461,0.9137691259384156,0.9585995078086852,0.980099618434906,0.76130211353302,0.7836591005325317,0.7761058807373047,0.9773166179656982,0.9835839867591858,0.9706626534461976,0.98403799533844,0.9673824906349182,0.9614904522895812,0.9659799933433532,0.9451795816421508,0.955026149749756,0.972629725933075,0.987550973892212,0.9589111804962158,59.42028986,41.0
Bharti Airtel,2016,0.982844889163971,0.986720860004425,0.9911579489707948,0.9927425980567932,0.8820452690124512,0.9536977410316468,0.9824983477592468,0.9883453249931335,0.9646984934806824,0.9823295474052428,0.9565829634666444,0.9893388152122498,0.9783774614334106,0.9709060788154602,0.9881077408790588,0.9337559938430786,0.9483624696731568,0.9693395495414734,0.9748513102531432,0.9834132790565492,0.9328117370605468,0.9510449171066284,0.9537809491157532,0.985938549041748,0.989175260066986,0.9721970558166504,0.9353686571121216,0.8661264181137085,0.9874794483184814,0.9714981317520142,0.9506614208221436,0.9792662262916564,0.978236973285675,0.8867055177688599,0.9717440009117126,0.969720721244812,0.9679107666015624,0.9828757047653198,0.6136267781257629,0.972778022289276,0.9583831429481506,0.9057814478874208,0.9433112740516664,0.975977063179016,0.7940794825553894,0.7772466540336609,0.994716465473175,0.820883572101593,0.8930680155754089,0.915090262889862,0.6604788303375244,0.8997328877449036,0.9686381220817566,0.9869229197502136,0.8656567335128784,0.8981558680534363,0.8764598369598389,0.9886044859886168,0.9842783212661744,0.9480761885643004,0.9752836227416992,0.9614893794059752,0.8357097506523132,0.9739221930503844,0.9775353074073792,0.9221243262290956,0.9627284407615662,0.9869686961174012,0.9616726636886596,56.52173913,39.0
Bharti Airtel,2017,0.9808593392372132,0.9876464009284972,0.9936146140098572,0.991887092590332,0.8641161918640137,0.9560856819152832,0.976990818977356,0.9902573227882384,0.9688602089881896,0.9896438717842102,0.9710645079612732,0.985268235206604,0.9836283326148988,0.9536169171333312,0.9901114702224731,0.9510125517845154,0.9485856890678406,0.9623785018920898,0.9604093432426452,0.9369125962257384,0.9241078495979308,0.9283740520477296,0.911949872970581,0.9126539826393129,0.98748517036438,0.8094733953475952,0.8862230181694031,0.9771438837051392,0.9897658824920654,0.9888869524002076,0.9403804540634156,0.9758671522140504,0.9694177508354188,0.9687064290046692,0.9785403609275818,0.9716334939002992,0.9792138934135436,0.9811540842056274,0.5414185523986816,0.9562060236930848,0.9410674571990968,0.7235828042030334,0.9731409549713136,0.9760953187942504,0.7012926340103149,0.4569096565246582,0.9960494041442872,0.9628870487213136,0.9930431246757508,0.9692299365997314,0.5234726071357727,0.9625243544578552,0.9673396348953248,0.9861347675323486,0.9054816961288452,0.9368748068809508,0.8134217262268066,0.986694037914276,0.9713822603225708,0.971767246723175,0.9913782477378844,0.9826271533966064,0.9413710832595824,0.9793819785118104,0.9503978490829468,0.9671618342399596,0.9771361351013184,0.9906705617904664,0.9600726366043092,57.97101449,40.0
Bharti Airtel,2018,0.9803767204284668,0.9900454878807068,0.9908713698387146,0.9925137758255004,0.8924705982208252,0.9439353346824646,0.9759417772293092,0.9787853956222534,0.9903799295425416,0.9783869981765748,0.985126256942749,0.984790563583374,0.9841277599334716,0.9694030284881592,0.9873407483100892,0.9458470344543456,0.9650779962539672,0.9806626439094543,0.9798957705497742,0.9535328149795532,0.9602086544036864,0.908970594406128,0.9503486156463624,0.8862859010696411,0.9869746565818788,0.8811302781105042,0.8754183053970337,0.9857503175735474,0.9939839839935304,0.9684613943099976,0.9708440899848938,0.9719433188438416,0.9652605652809144,0.9462746977806092,0.9820284247398376,0.9804783463478088,0.975066304206848,0.9744303226470948,0.8317506909370422,0.9897594451904296,0.9626270532608032,0.7774107456207275,0.9784387350082396,0.9634867906570436,0.8092734217643738,0.9192090630531312,0.995971381664276,0.942574143409729,0.9251247644424438,0.8668098449707031,0.1720938682556152,0.9488027691841124,0.9306882619857788,0.960356831550598,0.9277530908584596,0.9720599055290222,0.8103564977645874,0.9887111783027648,0.9755438566207886,0.9581859111785888,0.9731821417808532,0.9674678444862366,0.835373044013977,0.9231885075569152,0.9620795845985411,0.8881441950798035,0.9866756200790404,0.97514671087265,0.981763482093811,62.31884058,43.0
Coal India,2014,0.9814408421516418,0.9877182245254515,0.9894338250160216,0.9901212453842164,0.8773040771484375,0.982552707195282,0.9598255753517152,0.9801912307739258,0.8998978734016418,0.9741060137748718,0.9424842000007628,0.9736224412918092,0.9614250659942628,0.9529179334640504,0.9841774702072144,0.9715034365653992,0.9517319798469543,0.8838886022567749,0.9583497643470764,0.9603032469749452,0.8466644883155823,0.8605372309684753,0.8675960898399353,0.8817696571350098,0.9852819442749025,0.8314304351806641,0.9179006814956664,0.911632776260376,0.9459298253059388,0.9655139446258544,0.8601970672607422,0.94770348072052,0.9792706966400146,0.972874104976654,0.9619220495224,0.9462804794311525,0.8643704652786255,0.9538095593452454,0.7612669467926025,0.9953194260597228,0.961992621421814,0.8386136889457703,0.968859851360321,0.9768304824829102,0.8302538394927979,0.898370087146759,0.9683400392532348,0.69288569688797,0.8326354026794434,0.9547165036201476,0.3150413632392883,0.9084394574165344,0.9297815561294556,0.9765986800193788,0.8252120018005371,0.8872074484825134,0.7418060898780823,0.9574205875396729,0.9840938448905944,0.9802904725074768,0.9847530722618104,0.9875338673591614,0.7801382541656494,0.9197309017181396,0.9508006572723388,0.9306238889694214,0.9807830452919006,0.930330455303192,0.9750354886054992,57.97101449,40.0
Coal India,2015,0.9805569052696228,0.9840315580368042,0.9907443523406982,0.9845525026321412,0.9079111218452454,0.969815731048584,0.9373798370361328,0.9708329439163208,0.906155288219452,0.9680516123771667,0.9711949229240416,0.9658093452453612,0.973699986934662,0.9638599753379822,0.9831002354621888,0.9709789752960204,0.9468189477920532,0.9560834169387816,0.9585971832275392,0.9689180254936218,0.9043327569961548,0.9231882691383362,0.9260988235473632,0.830040454864502,0.9869480729103088,0.9511258006095886,0.9308333992958068,0.7658101916313171,0.9548560380935668,0.9569258689880372,0.9505928158760072,0.9426092505455016,0.972976565361023,0.8947004675865173,0.94760000705719,0.965094268321991,0.8609151244163513,0.9268842339515686,0.776664137840271,0.99494469165802,0.9425398707389832,0.883189857006073,0.9808939695358276,0.969104826450348,0.7473263740539551,0.6300700902938843,0.993553102016449,0.7736127376556396,0.9872740507125854,0.8853406310081482,0.534415602684021,0.9619828462600708,0.9468958973884584,0.9923323392868042,0.8759592771530151,0.8363655805587769,0.8453893661499023,0.9190232157707214,0.9810997247695924,0.9496455192565918,0.983635425567627,0.9370453357696532,0.837071418762207,0.987736999988556,0.9789108037948608,0.8636888265609741,0.974502444267273,0.9403036236763,0.952997088432312,60.86956522,42.0
Coal India,2016,0.979624330997467,0.988797128200531,0.990593671798706,0.987335205078125,0.8977230787277222,0.983561635017395,0.9563366174697876,0.9610897302627563,0.9578902125358582,0.9831814169883728,0.9725412726402284,0.9651340842247008,0.9525190591812134,0.9604761004447936,0.9858664274215698,0.961208999156952,0.9575690627098083,0.8982332348823547,0.98643559217453,0.9836199283599854,0.864336371421814,0.8099848031997681,0.9113684296607972,0.7511875033378601,0.9678848385810852,0.9411132335662842,0.9033870100975036,0.7288860082626343,0.9485121369361876,0.9713659882545472,0.916253387928009,0.9684537649154664,0.981837511062622,0.9677649140357972,0.946247398853302,0.9518007040023804,0.7913128733634949,0.9200176000595092,0.8774615526199341,0.992440700531006,0.9709604382514954,0.8045957088470459,0.981395184993744,0.9493050575256348,0.8012980222702026,0.7296916842460632,0.9906643033027648,0.7741482257843018,0.9854723811149596,0.9381796717643738,0.6432849168777466,0.8447286486625671,0.9461148381233216,0.9717394113540648,0.8081832528114319,0.7323597073554993,0.8137309551239014,0.9333258867263794,0.984014093875885,0.9456321597099304,0.9854576587677002,0.9576149582862854,0.8203837871551514,0.9907333850860596,0.98722505569458,0.8079546689987183,0.9623973965644836,0.9578699469566344,0.9764567017555236,62.31884058,43.0
Coal India,2017,0.9883713722229004,0.9870217442512512,0.9944477677345276,0.9898311495780944,0.8885518908500671,0.979080319404602,0.9361813068389891,0.9665009379386902,0.9771235585212708,0.9514137506484984,0.9630733132362366,0.9639766216278076,0.9692871570587158,0.9588668346405028,0.9808201789855956,0.9665003418922424,0.9603297114372252,0.9271801710128784,0.9819966554641724,0.9846076369285583,0.9773788452148438,0.9210699200630188,0.9149577617645264,0.8927556872367859,0.9921445250511168,0.9774919152259828,0.9033579230308532,0.8370329141616821,0.9751294255256652,0.9622600674629213,0.9475943446159364,0.9407317042350768,0.9734914898872375,0.8733105063438416,0.9621865749359132,0.9271758198738098,0.9596214890480042,0.941377580165863,0.928580105304718,0.9932271838188172,0.9583138823509216,0.8601936101913452,0.9694742560386658,0.9636397361755372,0.8486887216567993,0.6009201407432556,0.9919622540473938,0.9190693497657776,0.9906498789787292,0.975171446800232,0.3926095962524414,0.915618360042572,0.9355447888374328,0.9903230667114258,0.9666538238525392,0.8827650547027588,0.932883322238922,0.975398600101471,0.9835414886474608,0.967357099056244,0.9809667468070984,0.977353572845459,0.8988515138626099,0.9418037533760072,0.9737660884857178,0.8711109757423401,0.9775865077972412,0.9788304567337036,0.9307465553283693,63.76811594,44.0
Coal India,2018,0.9707096815109252,0.9936729073524476,0.9930518865585328,0.9899691939353944,0.8992464542388916,0.9858469367027284,0.947965145111084,0.978221356868744,0.9469730257987976,0.9836760759353638,0.972210705280304,0.9771231412887572,0.9698306322097778,0.9599764347076416,0.982766568660736,0.9485533237457277,0.9639209508895874,0.9690330028533936,0.973840057849884,0.9799924492836,0.9535658359527588,0.880132257938385,0.929768979549408,0.8928914666175842,0.9874897599220276,0.9911898374557496,0.9208074808120728,0.9235158562660216,0.9843374490737916,0.980623424053192,0.9782642126083374,0.9804930686950684,0.973709523677826,0.9460741877555848,0.9844277501106262,0.9659634232521056,0.7962048053741455,0.9550835490226746,0.9038875102996826,0.9946925044059752,0.9710587859153748,0.923754096031189,0.9838628768920898,0.9712600708007812,0.8811055421829224,0.6059831976890564,0.9682026505470276,0.838074266910553,0.9831394553184508,0.8995630741119385,0.5865952968597412,0.8848088383674622,0.9638420343399048,0.9780189990997314,0.9616978764533995,0.9359014630317688,0.9300850033760072,0.9703034162521362,0.9895905256271362,0.9896042346954346,0.984488606452942,0.96775883436203,0.893744707107544,0.9582815170288086,0.9827924370765686,0.8020433187484741,0.9529338479042052,0.9818598628044128,0.9847822785377502,60.86956522,42.0
HUL,2014,0.9822949767112732,0.98163104057312,0.9942505359649658,0.9877131581306458,0.962710976600647,0.9649144411087036,0.9459137320518494,0.974138617515564,0.9761857986450196,0.9732524156570436,0.9533941149711608,0.985487163066864,0.9857226610183716,0.956440567970276,0.9876383543014526,0.9080487489700316,0.8264094591140747,0.965306282043457,0.9803239703178406,0.8359041213989258,0.7680341601371765,0.8665796518325806,0.8605982661247253,0.8232395648956299,0.9838885068893432,0.977154016494751,0.8183660507202148,0.649624764919281,0.9863790273666382,0.9647199511528016,0.8638430833816528,0.9455509781837464,0.9339119791984558,0.9161213636398317,0.96109938621521,0.9318905472755432,0.9825006723403932,0.9705652594566344,0.9532504081726074,0.9949616193771362,0.9769452810287476,0.7179042100906372,0.9433860182762146,0.9908747673034668,0.8743164539337158,0.5883111357688904,0.9951671957969666,0.8094488978385925,0.939372420310974,0.922966718673706,0.7841947078704834,0.900985300540924,0.9732900261878968,0.9870479702949524,0.8905618786811829,0.9558941125869752,0.911200225353241,0.923430323600769,0.9897888898849488,0.992835521697998,0.974811315536499,0.9824953079223632,0.7523276805877686,0.9526975750923156,0.9899850487709044,0.9455596804618835,0.9556004405021667,0.9845023155212402,0.9782887697219848,60.86956522,42.0
